redshift,source,status
0.01633829024906963,nearby/low-z calibration galaxies,embedded_fallback
0.02459505638743631,nearby/low-z calibration galaxies,embedded_fallback
0.05223983591379733,nearby/low-z calibration galaxies,embedded_fallback
0.06213253416898101,nearby/low-z calibration galaxies,embedded_fallback
0.07402930677040387,nearby/low-z calibration galaxies,embedded_fallback
0.0800588958951215,nearby/low-z calibration galaxies,embedded_fallback
0.08437291306972394,nearby/low-z calibration galaxies,embedded_fallback
0.09129227070519286,nearby/low-z calibration galaxies,embedded_fallback
0.09578108396568541,nearby/low-z calibration galaxies,embedded_fallback
0.09655317239122285,nearby/low-z calibration galaxies,embedded_fallback
0.12636509643573768,nearby/low-z calibration galaxies,embedded_fallback
0.13817792517525596,nearby/low-z calibration galaxies,embedded_fallback
0.150893571774815,intermediate JWST field galaxies,embedded_fallback
0.1554345859573356,nearby/low-z calibration galaxies,embedded_fallback
0.15842039037561628,nearby/low-z calibration galaxies,embedded_fallback
0.16014359329496608,nearby/low-z calibration galaxies,embedded_fallback
0.16264640513756767,nearby/low-z calibration galaxies,embedded_fallback
0.1677260006085184,nearby/low-z calibration galaxies,embedded_fallback
0.19096475779946875,nearby/low-z calibration galaxies,embedded_fallback
0.19155163266713826,nearby/low-z calibration galaxies,embedded_fallback
0.19628098502701996,nearby/low-z calibration galaxies,embedded_fallback
0.20151058216818063,intermediate JWST field galaxies,embedded_fallback
0.2042997824733479,nearby/low-z calibration galaxies,embedded_fallback
0.20788107948583756,nearby/low-z calibration galaxies,embedded_fallback
0.20895400855571256,nearby/low-z calibration galaxies,embedded_fallback
0.20930561116267243,nearby/low-z calibration galaxies,embedded_fallback
0.20991732441328348,intermediate JWST field galaxies,embedded_fallback
0.21240764127783351,nearby/low-z calibration galaxies,embedded_fallback
0.21320689914813185,nearby/low-z calibration galaxies,embedded_fallback
0.2331439972397562,nearby/low-z calibration galaxies,embedded_fallback
0.24134576224182858,nearby/low-z calibration galaxies,embedded_fallback
0.24657229383769264,nearby/low-z calibration galaxies,embedded_fallback
0.24796339043019555,nearby/low-z calibration galaxies,embedded_fallback
0.2482594614242225,nearby/low-z calibration galaxies,embedded_fallback
0.254876199239947,nearby/low-z calibration galaxies,embedded_fallback
0.2568860738704988,nearby/low-z calibration galaxies,embedded_fallback
0.25743594089324917,nearby/low-z calibration galaxies,embedded_fallback
0.26517602580980415,nearby/low-z calibration galaxies,embedded_fallback
0.2659931578223491,nearby/low-z calibration galaxies,embedded_fallback
0.26987324029326,nearby/low-z calibration galaxies,embedded_fallback
0.26995629123334985,nearby/low-z calibration galaxies,embedded_fallback
0.27062572662990114,nearby/low-z calibration galaxies,embedded_fallback
0.2730629847149729,nearby/low-z calibration galaxies,embedded_fallback
0.2850885053232941,nearby/low-z calibration galaxies,embedded_fallback
0.28759611514005534,nearby/low-z calibration galaxies,embedded_fallback
0.2940580052166639,nearby/low-z calibration galaxies,embedded_fallback
0.2949102938931477,nearby/low-z calibration galaxies,embedded_fallback
0.2954091384127614,nearby/low-z calibration galaxies,embedded_fallback
0.2968693547196246,nearby/low-z calibration galaxies,embedded_fallback
0.29695331521371426,nearby/low-z calibration galaxies,embedded_fallback
0.3015630387705795,nearby/low-z calibration galaxies,embedded_fallback
0.30445855647639886,nearby/low-z calibration galaxies,embedded_fallback
0.30650584751971666,nearby/low-z calibration galaxies,embedded_fallback
0.3075776407124726,intermediate JWST field galaxies,embedded_fallback
